,Name,Price,Volume,Avg
0,GFPT,11.5,4039600,6939060.0
1,LEE,2.7799999713897705,1119700,956680.0
2,VPO,1.159999966621399,8873400,4032780.0
3,CBG,137.0,2098700,6992340.0
4,CFRESH,2.140000104904175,6652100,5674600.0
5,CM,2.9800000190734863,247600,1011660.0
6,CPF,26.5,42262900,27740560.0
7,CPI,3.0999999046325684,163100,543700.0
8,HTC,36.75,185600,245000.0
9,ICHI,12.399999618530273,4243300,24804260.0
10,MALEE,6.900000095367432,87000,287860.0
11,NSL,14.899999618530273,11069900,12026000.0
12,OISHI,42.0,14700,20320.0
13,OSP,37.0,1777800,7921200.0
14,PB,69.0,600,7860.0
15,PM,11.699999809265137,1741500,1182320.0
16,PRG,11.600000381469727,14100,3440.0
17,SAUCE,29.0,1000,7080.0
18,SFP,100.0,0,280.0
19,SORKON,4.659999847412109,268200,631420.0
20,SSC,32.25,1400,7500.0
21,SSF,8.699999809265137,0,26240.0
22,SST,4.260000228881836,13100,184660.0
23,TFG,4.920000076293945,11603000,5218420.0
24,TFMAMA,190.0,8900,6800.0
25,TKN,7.550000190734863,8715100,12763060.0
26,W,50.699745178222656,60706,82731.6
27,ZEN,11.699999809265137,199000,459980.0
28,CPH,4.119999885559082,31400,22520.0
29,ICC,31.25,800,900.0
30,PG,6.300000190734863,3000,2380.0
31,SABINA,20.200000762939453,547400,1260720.0
32,SUC,36.25,13100,15800.0
33,TNL,16.100000381469727,500,960.0
34,TR,32.0,32000,12940.0
35,TTT,49.75,1000,580.0
36,UPF,67.0,6800,3600.0
37,WACOAL,40.25,0,1000.0
38,KYE,448.0,4800,10200.0
39,MODERN,3.9800000190734863,140500,445760.0
40,JCT,78.0,200,940.0
41,OCC,10.399999618530273,600,2020.0
42,STGT,41.25,13414900,9432080.0
43,STHAI,0.09781999886035919,0,0.0
44,FNS,4.659999847412109,1684800,9467460.0
45,IFS,2.700000047683716,94100,629540.0
46,KCAR,8.5,45000,70040.0
47,PE,0.029999999329447746,0,0.0
48,PL,2.619999885559082,64100,368700.0
49,S11,7.099999904632568,408600,644660.0
50,TK,9.5,157200,308680.0
51,UOBKH,5.949999809265137,91400,398880.0
52,THRE,1.3300000429153442,5490800,17073400.0
53,EASON,1.850000023841858,26277400,1123200.0
54,IRC,17.899999618530273,47000,75380.0
55,SPG,17.5,0,2980.0
56,ASEFA,4.539999961853027,221800,258880.0
57,CPT,0.8999999761581421,481600,1065080.0
58,CTW,7.75,46300,74360.0
59,FMT,28.75,12000,1740.0
60,SNC,14.600000381469727,324900,630400.0
61,TPCS,13.5,300,16800.0
62,BCT,44.5,800,50500.0
